product_id,avg_cost
13881,133.229714
13882,8.578838
13883,290.0
13885,170.934167
13886,257.060851
13888,239.785714
13889,11.95
13890,240.0
13891,66.96
13896,21.064912
13897,278.317419
13898,422.780658
13902,1974.72
13904,12.629583
13906,13.04537
13910,13.5
13911,999.0
13912,477.08642
13913,173.866197
13914,206.842398
13915,453.213668
13918,97.814286
13919,106.519286
13920,103.534211
13921,1382.387879
13923,148.337113
13925,610.266906
13926,783.62292
13930,101.96
13931,150.261084
13932,276.29
13935,502.0375
13938,60.183778
13939,550.8
13940,555.028333
13942,381.312335
13946,63.492424
13947,952.802581
13951,7.0
13952,171.13253
13954,7.4
13955,87.08
13956,35.71
13959,11.176042
13960,0.69
13964,166.26302
13967,52.934211
13968,38.597023
13969,77.894068
13971,23.336667
13973,1374.908295
13974,40.824812
13976,30.97
13977,25.697841
13978,22.6575
13980,1.478125
13981,71.72721
13982,2.85
13985,8.037284
13986,0.65
13987,0.391333
13989,1.630277
13990,85.05
13991,17.961654
13993,164.477143
13995,823.161538
13996,600.186875
13998,13.42009
13999,2.145833
14000,51.24
14001,308.878
14002,633.142857
14003,684.173043
14004,401.595062
14005,654.591176
14007,34.385238
14008,55.57838
14009,688.630794
14010,41.988854
14012,11.07
14014,88.906571
14018,31.431727
14019,148.219048
14020,6.071299
14024,34.957368
14025,382.15032
14027,133.80531
14028,843.899038
14029,2.931687
14030,170.83257
14031,405.868655
14032,102.009378
14033,308.994703
14034,53.337927
14036,10.373188
14038,38.08
14040,310.5
14041,73.8
14044,63.48024
14045,240.25
14046,32.72
14047,86.4
14049,48.366471
14051,850.0
14052,20.121515
14053,670.77931
14054,169.269231
14055,2.930787
14056,11.874828
14059,578.0
14065,13.04375
14066,406.35
14067,643.486897
14068,619.4
14070,44.09
14074,28.041008
14075,81.9
14078,247.340426
14079,4.360435
14080,2.878031
14081,41.531739
14082,941.77
14084,12.168889
14085,34.2
14086,39.365385
14092,10.343333
14093,440.783333
14094,1432.363158
14096,6.025436
14097,76.478829
14098,54.210526
14099,372.0
14105,31.809063
14108,37.650323
14109,368.188793
14110,35.808824
14111,309.873986
14112,38.172414
14114,30.85039
14115,54.603913
14116,120.960729
14117,1366.019475
14118,1113.789474
14120,626.247368
14121,1148.903162
14122,1599.354074
14124,1875.0
14126,29.678961
14127,34.912912
14128,404.048148
14130,6.695667
14131,58.377358
14132,1224.937595
14133,646.896552
14134,362.095072
14135,22.178889
14136,47.89
14139,2.624
14140,215.893606
14143,81.009081
14144,117.747476
14145,64.436962
14146,24.411322
14147,43.783463
14148,10.812
14150,475.900559
14152,8.584527
14153,8.448448
14156,57.556
14158,80.219298
14162,38.011278
14163,28.89595
14164,30.499673
14165,82.727273
14166,87.124424
14167,81.524229
14168,540.0
14173,371.25
14174,24.396471
14175,302.352381
14182,172.859666
14185,23.8
14186,221.116956
14187,419.505266
14188,597.05284
14193,77.31
14194,118.19
14198,22.974384
14199,35.620455
14200,64.337302
14203,21.857143
14205,0.8
14208,49.298093
14211,4.84
14212,152.561049
14213,91.804279
14214,38.67
14217,0.366567
14220,24.5375
14221,29.80094
14222,450.0
14223,48.845325
14226,323.171519
14229,183.6
14231,142.726415
14233,7.25
14234,15.432223
14235,255.667213
14236,209.809324
14237,3.414815
14241,170.794009
14242,480.66
14243,21.134394
14244,22.669485
14249,796.8
14251,602.282511
14252,182.163299
14253,97.431936
14254,35.480444
14255,62.526237
14256,556.631875
14258,950.842105
14259,79.26398
14260,6.878424
14262,46.454074
14263,4.155102
14264,10.339697
14265,22.537527
14267,12.308
14269,178.192542
14270,224.394325
14271,9.397504
14272,185.487368
14274,182.042738
14278,384.9
14280,14.179833
14281,126.311786
14288,750.0
14289,47.0
14290,0.374688
14291,1.163571
14293,9.397595
14294,1100.0
14295,2233.8
14296,1151.1
14297,1510.856863
14298,18.502917
14300,2.086111
14301,44.229286
14302,31.5
14306,459.329474
14307,349.218889
14308,939.6
14311,119.182635
14319,196.47
14320,25.65
14321,31.42
14322,92.277683
